home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Vietnam,Netherlands,0,0.4,,7,4.9,,Mai Đức Chung,Phạm Hải Yến,Andries Jonker,Sherida Spitse,8215,"Forsyth Barr Stadium, Dunedin",Ivana Martinčić (Referee) · Sanja Rođak-Karšić (AR1) · Karolin Kaivoja (AR2) · Iuliana Demetrescu (4th) · Carol-Anne Chenard (VAR),Group stage,2023-08-01,0–7,Ivana Martinčić,,"Australia, New Zealand",2023,,Lieke Martens · 8’|Katja Snoeijs · 11’|Esmee Brugts · 18’|Jill Roord · 23’|Daniëlle van de Donk · 45’|Esmee Brugts · 57’|Jill Roord · 83’,,"['8’|0:1|Lieke Martens', '11’|0:2|Katja Snoeijs|Assist:|Daniëlle van de Donk', '18’|0:3|Esmee Brugts|Assist:|Lieke Martens', '23’|0:4|Jill Roord|Assist:|Dominique Janssen', '45’|0:5|Daniëlle van de Donk', '57’|0:6|Esmee Brugts', '83’|0:7|Jill Roord|Assist:|Stefanie van der Gragt']",,,,,,,,,,,,,,,['83’|0:6|Dương Thị Vân'],,"['28’|0:4|Nguyễn Thị Mỹ Anh|for Hoàng Thị Loan', '28’|0:4|Chương Thị Kiều|for Lương Thị Thu Thương', '46’|0:5|Khổng Thị Hằng|for Trần Thị Kim Thanh', '60’|0:6|Huỳnh Như|for Phạm Hải Yến', '60’|0:6|Nguyễn Thị Tuyết Dung|for Nguyễn Thị Bích Thùy']","['46’|0:5|Kerstin Casparij|for Victoria Pelova', '46’|0:5|Wieke Kaptein|for Daniëlle van de Donk', '62’|0:6|Damaris Egurrola|for Jackie Groenen', '73’|0:6|Caitlin Dijkstra|for Sherida Spitse', '80’|0:6|Merel van Dongen|for Esmee Brugts']"
Portugal,United States,0,0.4,,0,2.1,,Francisco Neto,Dolores Silva,Vlatko Andonovski,Lindsey Horan,40958,"Eden Park, Auckland",Rebecca Welch (Referee) · Natalie Aspinall (AR1) · Anita Vad (AR2) · Anahi Fernández (4th) · Marco Fritz (VAR),Group stage,2023-08-01,0–0,Rebecca Welch,,"Australia, New Zealand",2023,,,,,,,,,,,,,,,,,,,"['56’|0:0|Carole Costa', '72’|0:0|Diana Gomes', '85’|0:0|Catarina Amado']","['39’|0:0|Rose Lavelle', '52’|0:0|Sophia Smith', '81’|0:0|Naomi Girma']","['62’|0:0|Andreia Jacinto|for Kika Nazareth', '81’|0:0|Telma Encarnação|for Andreia Norton', '89’|0:0|Joana Marchão|for Catarina Amado', '90’|0:0|Ana Capeta|for Diana Silva']","['61’|0:0|Megan Rapinoe|for Sophia Smith', '84’|0:0|Trinity Rodman|for Lynn Williams', '84’|0:0|Emily Sonnett|for Lindsey Horan', ""90+7’|0:0|Kelley O'Hara|for Crystal Dunn"", '90+7’|0:0|Alyssa Thompson|for Alex Morgan']"
Haiti,Denmark,0,0.5,,2,1.9,,Nicolas Delépine,Nérilia Mondésir,Lars Søndergaard,Pernille Harder,17897,"HBF Park, Perth",Oh Hyeonjeong (Referee) · Park Misuk (AR1) · Makoto Bozono (AR2) · Akhona Makalima (4th) · Taqi Aljaafari (VAR),Group stage,2023-08-01,0–2,Oh Hyeonjeong,,"Australia, New Zealand",2023,,Sanne Troelsgaard Nielsen · 90+10’,,['90+10’|0:2|Sanne Troelsgaard Nielsen|Assist:|Mille Gejl'],,,,Pernille Harder (P) · 21’,,,,,,,,,,,,['66’|0:1|Karen Holmgaard'],"['67’|0:1|Roselord Borgella|for Dayana Pierre-Louis', '87’|0:1|Ruthny Mathurin|for Betina Petit-Frère']","['63’|0:1|Mille Gejl|for Rikke Madsen', '63’|0:1|Signe Bruun|for Nicoline Sørensen', '80’|0:1|Sanne Troelsgaard Nielsen|for Karen Holmgaard', '80’|0:1|Josefine Hasbo|for Kathrine Kühl', '90+2’|0:1|Luna Gevitz|for Pernille Harder']"
China PR,England,1,0.9,,6,2.6,,Shui Qingxia,Wang Shanshan,Sarina Wiegman,Millie Bright,13497,"Coopers Stadium, Adelaide",Casey Reibelt (Referee) · Ramina Tsoy (AR1) · Heba Saadieh (AR2) · Marianela Araya (4th) · Juan Soto (VAR),Group stage,2023-08-01,1–6,Casey Reibelt,,"Australia, New Zealand",2023,,Alessia Russo · 4’|Lauren Hemp · 26’|Lauren James · 41’|Lauren James · 65’|Chloe Kelly · 77’|Rachel Daly · 84’,,"['4’|0:1|Alessia Russo|Assist:|Lauren James', '26’|0:2|Lauren Hemp|Assist:|Lauren James', '41’|0:3|Lauren James|Assist:|Alex Greenwood', '65’|1:4|Lauren James|Assist:|Jess Carter', '77’|1:5|Chloe Kelly|Assist:|Lauren James', '84’|1:6|Rachel Daly|Assist:|Laura Coombs']",,,Wang Shuang (P) · 57’,,,,,,,,,,,,,['56’|0:3|Lucy Bronze'],"['75’|1:4|Gu Yasha|for Wang Shuang', '75’|1:4|Wu Haiyan|for Li Mengwen', '90+3’|1:6|Shen Mengyu|for Wu Chengshu', '90+3’|1:6|Dou Jiaxing|for Yao Lingwei', '90+11’|1:6|Wang Linlin|for Lou Jiahui']","['46’|0:3|Laura Coombs|for Georgia Stanway', '71’|1:4|Chloe Kelly|for Lauren Hemp', '71’|1:4|Niamh Charles|for Lucy Bronze', '71’|1:4|Bethany England|for Alessia Russo', '81’|1:5|Ella Toone|for Lauren James']"
Japan,Spain,4,0.9,,0,0.7,,Futoshi Ikeda,Saki Kumagai,Jorge Vilda,Olga Carmona,20957,"Sky Stadium, Wellington",Katja Koroleva (Referee) · Kathryn Nesbitt (AR1) · Felisha Mariscal (AR2) · Myriam Marcotte (4th) · Drew Fischer (VAR),Group stage,2023-07-31,4–0,Katja Koroleva,,"Australia, New Zealand",2023,Hinata Miyazawa · 12’|Riko Ueki · 29’|Hinata Miyazawa · 40’|Mina Tanaka · 82’,,"['12’|1:0|Hinata Miyazawa|Assist:|Jun Endō', '29’|2:0|Riko Ueki|Assist:|Hinata Miyazawa', '40’|3:0|Hinata Miyazawa|Assist:|Riko Ueki', '82’|4:0|Mina Tanaka|Assist:|Miyabi Moriya']",,,,,,,,,,,,,,,,,"['45+1’|3:0|Olga Carmona', '89’|4:0|Oihane Hernández']","['46’|3:0|Aoba Fujino|for Hinata Miyazawa', '59’|3:0|Yui Hasegawa|for Fūka Nagano', '59’|3:0|Miyabi Moriya|for Risa Shimizu', '68’|3:0|Mina Tanaka|for Riko Ueki', '85’|4:0|Hina Sugita|for Jun Endō']","['46’|3:0|Oihane Hernández|for Olga Carmona', '62’|3:0|Alba Redondo|for Alexia Putellas', '62’|3:0|Eva Navarro|for Mariona Caldentey', '72’|3:0|Claudia Zornoza|for Teresa Abelleira', '82’|4:0|Esther González|for Salma Paralluelo']"
Costa Rica,Zambia,1,2.1,,3,2.4,,Amelia Valverde,Katherine Alvarado,Bruce Mwape,Barbra Banda,8117,"FMG Stadium Waikato, Hamilton",Bouchra Karboubi (Referee) · Fatiha Jermoumi (AR1) · Soukaina Hamdi (AR2) · Kim Yujeong (4th) · Adil Zourak (VAR),Group stage,2023-07-31,1–3,Bouchra Karboubi,,"Australia, New Zealand",2023,Melissa Herrera · 47’,Lushomo Mweemba · 3’|Racheal Kundananji · 90+3’,['47’|1:2|Melissa Herrera|Assist:|Valeria del Campo'],"['3’|0:1|Lushomo Mweemba|Assist:|Avell Chitundu', '90+3’|1:3|Racheal Kundananji|Assist:|Barbra Banda']",,,,Barbra Banda (P) · 31’,,,,,,,,,,,"['6’|0:1|Katherine Alvarado', '21’|0:1|Mariana Benavides', '23’|0:1|Valeria del Campo']","['40’|0:2|Martha Tembo', '66’|1:2|Barbra Banda']","['72’|1:2|María Paula Salas|for Gloriana Villalobos', '85’|1:2|Emilie Valenciano|for Sheika Scott', '90+1’|1:2|Alexandra Pinell|for Katherine Alvarado']","['74’|1:2|Mary Wilombe|for Evarine Katongo', '85’|1:2|Xiomara Mapepa|for Avell Chitundu', '90+9’|1:3|Hellen Mubanga|for Hellen Chanda']"
Republic of Ireland,Nigeria,0,0.5,,0,1.1,,Vera Pauw,Katie McCabe,Randy Waldrum,Chiamaka Nnadozie,24884,"Suncorp Stadium, Brisbane",Katia García (Referee) · Karen Díaz (AR1) · Enedina Caudillo (AR2) · Lina Lehtovaara (4th) · Massimiliano Irrati (VAR),Group stage,2023-07-31,0–0,Katia García,,"Australia, New Zealand",2023,,,,,,,,,,,,,,,,,,,['68’|0:0|Katie McCabe'],,"['83’|0:0|Abbie Larkin|for Lily Agg', '84’|0:0|Marissa Sheva|for Heather Payne', '90+5’|0:0|Diane Caldwell|for Niamh Fahey']","['67’|0:0|Ifeoma Onumonu|for Asisat Oshoala', '68’|0:0|Gift Monday|for Uchenna Kanu', '84’|0:0|Onome Ebi|for Blessing Demehin']"
Canada,Australia,0,0.6,,4,2.7,,Bev Priestman,Christine Sinclair,Tony Gustavsson,Steph Catley,27706,"AAMI Park, Melbourne",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Elodie Coppola (AR2) · Tess Olofsson (4th) · Pol van Boekel (VAR),Group stage,2023-07-31,0–4,Stéphanie Frappart,,"Australia, New Zealand",2023,,Hayley Raso · 9’|Hayley Raso · 39’|Mary Fowler · 58’,,"['9’|0:1|Hayley Raso', '39’|0:2|Hayley Raso', '58’|0:3|Mary Fowler|Assist:|Caitlin Foord']",,,,Steph Catley (P) · 90+4’,,,,,,,,,,,,"['68’|0:3|Emily van Egmond', '81’|0:3|Mackenzie Arnold']","['46’|0:2|Deanne Rose|for Jordyn Huitema', '46’|0:2|Allysha Chapman|for Jayde Riviere', '46’|0:2|Sophie Schmidt|for Julia Grosso', '46’|0:2|Cloé Lacasse|for Christine Sinclair', '64’|0:3|Evelyne Viens|for Adriana Leon', '78’|0:3|Olivia Smith|for Quinn']","['75’|0:3|Cortnee Vine|for Hayley Raso', '84’|0:3|Clare Polkinghorne|for Emily van Egmond', '90+6’|0:4|Charlotte Grant|for Katrina Gorry']"
Korea Republic,Morocco,0,1.2,,1,1.4,,Colin Bell,Kim Hye-ri,Reynald Pedros,Ghizlane Chebbak,12886,"Coopers Stadium, Adelaide",Edina Alves Batista (Referee) · Neuza Back (AR1) · Leila Naiara Moreira da Cruz (AR2) · Marianela Araya (4th) · Daiane Muniz (VAR),Group stage,2023-07-30,0–1,Edina Alves Batista,,"Australia, New Zealand",2023,,Ibtissam Jraïdi · 6’,,['6’|0:1|Ibtissam Jraïdi|Assist:|Hanane Aït El Haj'],,,,,,,,,,,,,,,,['81’|0:1|Nouhaila Benzina'],"['46’|0:1|Choe Yu-ri|for Son Hwa-yeon', '46’|0:1|Moon Mi-ra|for Choo Hyo-joo', '69’|0:1|Jeon Eun-ha|for Park Eun-sun', '84’|0:1|Casey Phair|for Hong Hye-ji', '88’|0:1|Chun Ga-ram|for Lee Geum-min']","['69’|0:1|Sarah Kassi|for Salma Amani', '74’|0:1|Rosella Ayane|for Ibtissam Jraïdi', '80’|0:1|Najat Badri|for Élodie Nakkach', '80’|0:1|Sofia Bouftini|for Fatima Tagnaout']"
Switzerland,New Zealand,0,0.1,,0,0.6,,Inka Grings,Lia Wälti,Jitka Klimková,Ali Riley,25947,"Forsyth Barr Stadium, Dunedin",Tori Penso (Referee) · Brooke Mayo (AR1) · Mijensa Rensch (AR2) · Iuliana Demetrescu (4th) · Nicolás Gallo (VAR),Group stage,2023-07-30,0–0,Tori Penso,,"Australia, New Zealand",2023,,,,,,,,,,,,,,,,,,,,,"['71’|0:0|Alisha Lehmann|for Géraldine Reuteler', '85’|0:0|Viola Calligaris|for Seraina Piubel', '85’|0:0|Sandrine Mauron|for Ramona Bachmann', '90+4’|0:0|Meriame Terchoun|for Ana-Maria Crnogorčević']","['46’|0:0|Indiah-Paige Riley|for Olivia Chance', '62’|0:0|Betsy Hassett|for Annalie Longo', '62’|0:0|Claudia Bunge|for Rebekah Stott', '72’|0:0|Grace Jale|for Ria Percival', '82’|0:0|Gabi Rennie|for Hannah Wilkinson']"
Norway,Philippines,6,3.9,,0,0.1,,Hege Riise,Maren Mjelde,Alen Stajcic,Hali Long,34697,"Eden Park, Auckland",Marie-Soleil Beaudoin (Referee) · Chantal Boudreau (AR1) · Stephanie-Dale Yee Sing (AR2) · Anahi Fernández (4th) · Drew Fischer (VAR),Group stage,2023-07-30,6–0,Marie-Soleil Beaudoin,,"Australia, New Zealand",2023,Sophie Román Haug · 6’|Sophie Román Haug · 17’|Caroline Graham Hansen · 31’|Sophie Román Haug · 90+5’,,"['6’|1:0|Sophie Román Haug|Assist:|Thea Bjelde', '17’|2:0|Sophie Román Haug|Assist:|Vilde Bøe Risa', '31’|3:0|Caroline Graham Hansen', '90+5’|6:0|Sophie Román Haug|Assist:|Guro Reiten']",,Alicia Barker (OG) · 48’,,Guro Reiten (P) · 53’,,,,,,,,,Sofia Harrison · 67’,,,['86’|5:0|Vilde Bøe Risa'],['54’|5:0|Katrina Guillou'],"['68’|5:0|Karina Sævik|for Emilie Haavi', '68’|5:0|Ingrid Syrstad Engen|for Frida Maanum', '68’|5:0|Anja Sønstevold|for Thea Bjelde', '81’|5:0|Guro Bergsvand|for Mathilde Harviken', '82’|5:0|Anna Jøsendal|for Caroline Graham Hansen']","['57’|5:0|Sofia Harrison|for Isabella Flanigan', '57’|5:0|Dominique Randle|for Alicia Barker', '74’|5:0|Chandler McDaniel|for Sarina Bolden', '74’|5:0|Ryley Bugay|for Jaclyn Sawicki', '82’|5:0|Meryll Serrano|for Quinley Quezada']"
Germany,Colombia,1,1.7,,2,0.4,,Martina Voss-Tecklenburg,Alexandra Popp,Nelson Abadía,Daniela Montoya,40499,"Allianz Stadium, Sydney",Melissa Borjas Pastrana (Referee) · Shirley Perelló (AR1) · Sandra Ramírez (AR2) · Yoshimi Yamashita (4th) · Armando Villarreal (VAR),Group stage,2023-07-30,1–2,Melissa Borjas Pastrana,,"Australia, New Zealand",2023,,Linda Caicedo · 52’|Manuela Vanegas · 90+7’,,"['52’|0:1|Linda Caicedo|Assist:|Jorelyn Carabalí', '90+7’|1:2|Manuela Vanegas|Assist:|Leicy Santos']",,,Alexandra Popp (P) · 89’,,,,,,,,,,,,['56’|0:1|Lena Oberdorf'],"['62’|0:1|Lorena Bedoya', '79’|0:1|Diana Ospina', '88’|0:1|Catalina Pérez']","['46’|0:0|Sjoeke Nüsken|for Sara Doorsoun', '67’|0:1|Lea Schüller|for Lina Magull', '76’|0:1|Nicole Anyomi|for Klara Bühl']","['54’|0:1|Leicy Santos|for Lady Andrade', '67’|0:1|Diana Ospina|for Daniela Montoya', '90+6’|1:1|Marcela Restrepo|for Linda Caicedo', '90+14’|1:2|Mónica Ramos|for Jorelyn Carabalí']"
Sweden,Italy,5,3.4,,0,0.6,,Peter Gerhardsson,Kosovare Asllani,Milena Bertolini,Barbara Bonansea,29143,"Sky Stadium, Wellington",Cheryl Foster (Referee) · Michelle O'Neill (AR1) · Franca Overtoom (AR2) · Myriam Marcotte (4th) · Pol van Boekel (VAR),Group stage,2023-07-29,5–0,Cheryl Foster,,"Australia, New Zealand",2023,Amanda Ilestedt · 39’|Fridolina Rolfö · 44’|Stina Blackstenius · 45+1’|Amanda Ilestedt · 50’|Rebecka Blomqvist · 90+5’,,"['39’|1:0|Amanda Ilestedt|Assist:|Jonna Andersson', '44’|2:0|Fridolina Rolfö', '45+1’|3:0|Stina Blackstenius', '50’|4:0|Amanda Ilestedt|Assist:|Jonna Andersson', '90+5’|5:0|Rebecka Blomqvist|Assist:|Sofia Jakobsson']",,,,,,,,,,,,,,,,,,"['62’|4:0|Madelen Janogy|for Kosovare Asllani', '62’|4:0|Olivia Schough|for Fridolina Rolfö', '75’|4:0|Sofia Jakobsson|for Johanna Rytting Kaneryd', '75’|4:0|Caroline Seger|for Elin Rubensson', '89’|4:0|Rebecka Blomqvist|for Stina Blackstenius']","['59’|4:0|Giada Greggi|for Giulia Dragoni', '59’|4:0|Martina Lenzini|for Lucia Di Guglielmo', '59’|4:0|Annamaria Serturini|for Barbara Bonansea', '71’|4:0|Valentina Cernoia|for Arianna Caruso', '75’|4:0|Valentina Giacinti|for Chiara Beccari']"
France,Brazil,2,1.2,,1,1.6,,Hervé Renard,Wendie Renard,Pia Sundhage,Rafaelle,49378,"Suncorp Stadium, Brisbane",Kate Jacewicz (Referee) · Kim Kyoungmin (AR1) · Joanna Charaktis (AR2) · Lina Lehtovaara (4th) · Massimiliano Irrati (VAR),Group stage,2023-07-29,2–1,Kate Jacewicz,,"Australia, New Zealand",2023,Eugénie Le Sommer · 17’|Wendie Renard · 83’,Debinha · 58’,"['17’|1:0|Eugénie Le Sommer|Assist:|Kadidiatou Diani', '83’|2:1|Wendie Renard|Assist:|Selma Bacha']",['58’|1:1|Debinha'],,,,,,,,,,,,,,,"['11’|0:0|Kenza Dali', '29’|1:0|Sandie Toletti', '69’|1:1|Sakina Karchaoui']",['44’|1:0|Luana'],"['65’|1:1|Vicki Bècho|for Eugénie Le Sommer', '87’|2:1|Léa Le Garrec|for Kenza Dali']","['61’|1:1|Andressa|for Geyse', '80’|1:1|Beatriz|for Adriana', '85’|2:1|Mônica|for Antônia', '86’|2:1|Ana Vitória|for Ary Borges', '86’|2:1|Marta|for Debinha']"
Panama,Jamaica,0,0.5,,1,1.0,,Nacho Quintana,Marta Cox,Lorne Donaldson,Allyson Swaby,15987,"HBF Park, Perth",Kateryna Monzul (Referee) · Maryna Striletska (AR1) · Paulina Baranowska (AR2) · Akhona Makalima (4th) · Juan Martínez (VAR),Group stage,2023-07-29,0–1,Kateryna Monzul,,"Australia, New Zealand",2023,,Allyson Swaby · 56’,,['56’|0:1|Allyson Swaby|Assist:|Trudi Carter'],,,,,,,,,,,,,,,"['13’|0:0|Emily Cedeño', '17’|0:0|Deysiré Salazar']",['31’|0:0|Deneisha Blackwood'],"['46’|0:0|Aldrith Quintero|for Deysiré Salazar', '65’|0:1|Karla Riley|for Lineth Cedeño', '78’|0:1|Carmen Montenegro|for Schiandra González', '87’|0:1|Hilary Jaén|for Carina Baltrip-Reyes']","['65’|0:1|Cheyna Matthews|for Trudi Carter', '80’|0:1|Kameron Simmonds|for Kayla McKenna', '80’|0:1|Solai Washington|for Jody Brown', '87’|0:1|Peyton McNamara|for Atlanta Primus', '87’|0:1|Tiernny Wiltshire|for Tiffany Cameron']"
Argentina,South Africa,2,0.7,,2,2.1,,Germán Portanova,Vanina Correa,Desiree Ellis,Refiloe Jane,8834,"Forsyth Barr Stadium, Dunedin",Anna-Marie Keighley (Referee) · Sarah Jones (AR1) · Maria Salamasina (AR2) · Iuliana Demetrescu (4th) · Abdulla Ali Al Marri (VAR),Group stage,2023-07-28,2–2,Anna-Marie Keighley,,"Australia, New Zealand",2023,Sophia Braun · 74’|Romina Núñez · 79’,Linda Motlhalo · 30’|Thembi Kgatlana · 66’,"['74’|1:2|Sophia Braun', '79’|2:2|Romina Núñez|Assist:|Yamila Rodríguez']","['30’|0:1|Linda Motlhalo|Assist:|Thembi Kgatlana', '66’|0:2|Thembi Kgatlana|Assist:|Jermaine Seoposenwe']",,,,,,,,,,,,,,,['45+1’|0:1|Miriam Mayorga'],"['43’|0:1|Kholosa Biyana', '56’|0:1|Tiisetso Makhubela']","['46’|0:1|Julieta Cruz|for Lorena Benítez', '46’|0:1|Romina Núñez|for Daiana Falfán', '59’|0:1|Yamila Rodríguez|for Paulina Gramaglia', '69’|0:2|Érica Lonigro|for Mariana Larroquette']","['25’|0:0|Kholosa Biyana|for Refiloe Jane', '54’|0:1|Tiisetso Makhubela|for Kholosa Biyana', '54’|0:1|Sibulele Holweni|for Noxolo Cesane', '83’|2:2|Melinda Kgadiete|for Thembi Kgatlana', '83’|2:2|Nomi Kgoale|for Linda Motlhalo']"
England,Denmark,1,1.1,,0,0.5,,Sarina Wiegman,Millie Bright,Lars Søndergaard,Pernille Harder,40439,"Allianz Stadium, Sydney",Tess Olofsson (Referee) · Lucie Ratajová (AR1) · Polyxeni Irodotou (AR2) · Oh Hyeonjeong (4th) · Tatiana Guzmán (VAR),Group stage,2023-07-28,1–0,Tess Olofsson,,"Australia, New Zealand",2023,Lauren James · 6’,,['6’|1:0|Lauren James|Assist:|Rachel Daly'],,,,,,,,,,,,,,,,,,"['38’|1:0|Laura Coombs|for Keira Walsh', '76’|1:0|Bethany England|for Alessia Russo', '76’|1:0|Lauren Hemp|for Ella Toone']","['71’|1:0|Amalie Vangsgaard|for Josefine Hasbo', '76’|1:0|Nicoline Sørensen|for Rikke Madsen', '77’|1:0|Frederikke Thøgersen|for Stine Ballisager Pedersen', '88’|1:0|Sanne Troelsgaard Nielsen|for Karen Holmgaard']"
China PR,Haiti,1,1.6,,0,0.8,,Shui Qingxia,Wang Shanshan,Nicolas Delépine,Nérilia Mondésir,12675,"Coopers Stadium, Adelaide",Marta Huerta (Referee) · Guadalupe Porras (AR1) · Sanja Rođak-Karšić (AR2) · Marianela Araya (4th) · Alfonso Hernández (VAR),Group stage,2023-07-28,1–0,Marta Huerta,,"Australia, New Zealand",2023,,,,,,,Wang Shuang (P) · 74’,,,,,,,,Zhang Rui · 29’,,,,,['63’|0:0|Melchie Dumornay'],"['37’|0:0|Zhang Xin|for Lou Jiahui', '46’|0:0|Wang Shuang|for Wu Chengshu', '82’|1:0|Dou Jiaxing|for Yao Lingwei', '88’|1:0|Tang Jiali|for Zhang Linyan']","['46’|0:0|Melchie Dumornay|for Maudeline Moryl', '64’|0:0|Roseline Éloissaint|for Batcheba Louis', '81’|1:0|Dani Étienne|for Dayana Pierre-Louis', '81’|1:0|Chelsea Surpris|for Ruthny Mathurin', '90’|1:0|Shwendesky Joseph|for Sherly Jeudy']"
United States,Netherlands,1,0.9,,1,0.3,,Vlatko Andonovski,Lindsey Horan,Andries Jonker,Sherida Spitse,27312,"Sky Stadium, Wellington",Yoshimi Yamashita (Referee) · Makoto Bozono (AR1) · Naomi Teshirogi (AR2) · Kim Yujeong (4th) · Juan Soto (VAR),Group stage,2023-07-27,1–1,Yoshimi Yamashita,,"Australia, New Zealand",2023,Lindsey Horan · 62’,Jill Roord · 17’,['62’|1:1|Lindsey Horan|Assist:|Rose Lavelle'],['17’|0:1|Jill Roord|Assist:|Victoria Pelova'],,,,,,,,,,,,,,,['51’|0:1|Rose Lavelle'],,['46’|0:1|Rose Lavelle|for Savannah Demelo'],"['46’|0:1|Aniek Nouwen|for Stefanie van der Gragt', '71’|1:1|Damaris Egurrola|for Katja Snoeijs', '87’|1:1|Kerstin Casparij|for Victoria Pelova', '90+4’|1:1|Renate Jansen|for Jill Roord']"
Portugal,Vietnam,2,4.8,,0,0.2,,Francisco Neto,Ana Borges,Mai Đức Chung,Huỳnh Như,6645,"FMG Stadium Waikato, Hamilton",Salima Mukansanga (Referee) · Queency Victoire (AR1) · Mary Njoroge (AR2) · Anahi Fernández (4th) · Adil Zourak (VAR),Group stage,2023-07-27,2–0,Salima Mukansanga,,"Australia, New Zealand",2023,Telma Encarnação · 7’|Kika Nazareth · 21’,,"['7’|1:0|Telma Encarnação|Assist:|Lúcia Alves', '21’|2:0|Kika Nazareth|Assist:|Telma Encarnação']",,,,,,,,,,,,,,,,['86’|2:0|Ana Borges'],,"['69’|2:0|Ana Capeta|for Kika Nazareth', '69’|2:0|Andreia Norton|for Jéssica Silva', '75’|2:0|Carolina Mendes|for Telma Encarnação', '90’|2:0|Ana Rute|for Andreia Jacinto', '90’|2:0|Sílvia Rebelo|for Ana Seiça']","['64’|2:0|Trần Thị Hải Linh|for Dương Thị Vân', '64’|2:0|Ngân Thị Vạn Sự|for Nguyễn Thị Bích Thùy', '72’|2:0|Chương Thị Kiều|for Lương Thị Thu Thương', '72’|2:0|Phạm Hải Yến|for Huỳnh Như']"
Australia,Nigeria,2,2.2,,3,1.4,,Tony Gustavsson,Steph Catley,Randy Waldrum,Chiamaka Nnadozie,49156,"Suncorp Stadium, Brisbane",Esther Staubli (Referee) · Katrin Rafalski (AR1) · Susanne Küng (AR2) · Lina Lehtovaara (4th) · Marco Fritz (VAR),Group stage,2023-07-27,2–3,Esther Staubli,,"Australia, New Zealand",2023,Emily van Egmond · 45+1’|Alanna Kennedy · 90+10’,Uchenna Kanu · 45+6’|Osinachi Ohale · 65’|Asisat Oshoala · 72’,"['45+1’|1:0|Emily van Egmond|Assist:|Caitlin Foord', '90+10’|2:3|Alanna Kennedy|Assist:|Kyra Cooney-Cross']","['45+6’|1:1|Uchenna Kanu', '65’|1:2|Osinachi Ohale', '72’|1:3|Asisat Oshoala']",,,,,,,,,,,,,,,['45+3’|1:0|Caitlin Foord'],"['21’|0:0|Michelle Alozie', '73’|1:3|Asisat Oshoala']","['82’|1:3|Clare Polkinghorne|for Cortnee Vine', '85’|1:3|Alex Chidiac|for Hayley Raso']","['63’|1:1|Esther Okoronkwo|for Ifeoma Onumonu', '64’|1:1|Asisat Oshoala|for Uchenna Kanu', '76’|1:3|Jennifer Echegini|for Halimatu Ayinde', '77’|1:3|Glory Ogbonna|for Ashleigh Plumptre', '90’|1:3|Onome Ebi|for Toni Payne']"
Japan,Costa Rica,2,2.5,,0,0.2,,Futoshi Ikeda,Saki Kumagai,Amelia Valverde,Katherine Alvarado,6992,"Forsyth Barr Stadium, Dunedin",Maria Sole Ferrieri Caputi (Referee) · Francesca Di Monte (AR1) · Mihaela Gomoescu-Țepușă (AR2) · Myriam Marcotte (4th) · Massimiliano Irrati (VAR),Group stage,2023-07-26,2–0,Maria Sole Ferrieri Caputi,,"Australia, New Zealand",2023,Hikaru Naomoto · 25’|Aoba Fujino · 27’,,"['25’|1:0|Hikaru Naomoto|Assist:|Mina Tanaka', '27’|2:0|Aoba Fujino|Assist:|Mina Tanaka']",,,,,,,,,,,,,,,,,['85’|2:0|Priscila Chinchilla'],"['59’|2:0|Hinata Miyazawa|for Aoba Fujino', '59’|2:0|Riko Ueki|for Mina Tanaka', '74’|2:0|Fūka Nagano|for Honoka Hayashi', '74’|2:0|Kiko Seike|for Hikaru Naomoto', '90+1’|2:0|Miyabi Moriya|for Risa Shimizu']","['46’|2:0|Gloriana Villalobos|for Gabriela Guillén', '64’|2:0|Raquel Rodríguez|for Cristín Granados', '76’|2:0|Sheika Scott|for María Paula Salas']"
